ALGORITHM,GATES,PLANES,TIME,,,
FWCHECK,1,1,31.82352941,,,
FWCHECK,7,10,126.3636364,,,
FWCHECK,9,2,58.4,,,
FWCHECK,9,15,165.0833333,,,
FWCHECK,4,20,221,,,
FWCHECK,5,21,218,,,
FWCHECK,6,22,224.4666667,,,
FWCHECK,3,1,35.77777778,,,
FWCHECK,1,21,140.6153846,,,
FWCHECK,1,7,71.88235294,,,
FWCHECK,2,15,277.3529412,,,
FWCHECK,2,1,38.8,,,
FWCHECK,8,15,161.1428571,,,
FWCHECK,9,16,183.4,,,
FWCHECK,4,10,135.2,,,
FWCHECK,5,3,68.4375,,,
FWCHECK,9,3,64.77777778,,,
FWCHECK,5,17,188.1111111,,,
FWCHECK,9,23,229.3571429,,,
FWCHECK,5,22,224.1,,,
FWCHECK,8,17,182.6666667,,,
FWCHECK,1,20,136.7826087,,,
FWCHECK,7,9,116.15,,,
FWCHECK,3,23,227.8571429,,,
FWCHECK,3,19,199.2941176,,,
FWCHECK,6,4,76.11764706,,,
FWCHECK,7,22,217.2727273,,,
FWCHECK,2,8,162,,,
FWCHECK,9,8,124,,,
FWCHECK,1,15,110.0625,,,
FWCHECK,7,12,131.25,,,
FWCHECK,9,6,92.5,,,
FWCHECK,6,16,183,,,
FWCHECK,7,20,200.125,,,
FWCHECK,2,3,80,,,
FWCHECK,9,16,178.7058824,,,
FWCHECK,8,22,218.6666667,,,
FWCHECK,9,23,250.6666667,,,
FWCHECK,4,1,37.68421053,,,
FWCHECK,5,21,224.0625,,,
FWCHECK,7,4,75.5,,,
FWCHECK,5,3,62.47058824,,,
FWCHECK,5,10,128.7142857,,,
FWCHECK,5,12,136.125,,,
FWCHECK,1,14,110,,,
FWCHECK,2,19,333,,,
FWCHECK,7,10,131.6956522,,,
FWCHECK,7,11,108,,,
FWCHECK,5,20,206.4285714,,,
FWCHECK,2,14,261.7647059,,,
FWCHECK,7,14,159.6923077,,,
FWCHECK,7,5,84.33333333,,,
FWCHECK,1,2,42.2173913,,,
FWCHECK,3,4,74.77777778,,,
FWCHECK,4,22,243.7777778,,,
FWCHECK,4,8,108.7142857,,,
FWCHECK,3,17,196.0434783,,,
FWCHECK,5,17,190.8333333,,,
FWCHECK,7,3,63.9,,,
FWCHECK,3,10,131.5,,,
FWCHECK,8,21,217.6521739,,,
FWCHECK,9,20,198.8888889,,,
FWCHECK,4,24,273.1052632,,,
FWCHECK,7,3,60.6,,,
FWCHECK,3,6,83,,,
FWCHECK,5,16,179.1,,,
FWCHECK,5,1,39,,,
FWCHECK,8,19,194.75,,,
FWCHECK,8,7,102.5217391,,,
FWCHECK,1,7,68.71428571,,,
FWCHECK,7,22,209,,,
FWCHECK,3,20,214.9444444,,,
FWCHECK,2,24,400.6666667,,,
FWCHECK,3,13,149.75,,,
FWCHECK,6,13,154,,,
FWCHECK,5,3,60.57142857,,,
FWCHECK,5,11,132,,,
FWCHECK,4,19,209.5,,,
FWCHECK,1,19,131.5789474,,,
FWCHECK,5,10,127.6086957,,,
FWCHECK,7,12,155,,,
FWCHECK,2,10,192,,,
FWCHECK,4,11,148,,,
FWCHECK,7,23,226.9166667,,,
FWCHECK,5,21,218.7272727,,,
FWCHECK,3,4,71.4,,,
FWCHECK,2,10,199.8571429,,,
FWCHECK,8,2,52.6,,,
FWCHECK,2,21,368.25,,,
FWCHECK,1,23,155.25,,,
FWCHECK,6,13,151.4,,,
FWCHECK,1,10,85.46666667,,,
FWCHECK,2,18,328.375,,,
FWCHECK,6,13,156.6666667,,,
FWCHECK,5,7,98,,,
FWCHECK,9,17,187.5263158,,,
FWCHECK,6,15,166.8571429,,,
FWCHECK,9,17,187.2,,,
FWCHECK,4,16,192.7777778,,,
FWCHECK,5,16,185.2380952,,,
FWCHECK,5,18,184,,,
FWCHECK,4,19,217.3333333,,,
FWCHECK,4,21,230.5,,,
FWCHECK,4,14,165.8333333,,,
FWCHECK,9,22,215.3333333,,,
FWCHECK,8,9,122.0769231,,,
FWCHECK,2,21,376.4444444,,,
FWCHECK,3,11,140.8333333,,,
FWCHECK,8,9,122.5,,,
FWCHECK,7,6,96.4,,,
FWCHECK,1,19,134.1875,,,
FWCHECK,7,8,106.4375,,,
FWCHECK,5,17,188.25,,,
FWCHECK,8,17,182,,,
FWCHECK,1,10,89.25,,,
FWCHECK,7,18,187.7142857,,,
FWCHECK,3,20,221.6666667,,,
FWCHECK,8,13,151.5333333,,,
FWCHECK,3,21,211.2222222,,,
FWCHECK,4,24,248.8,,,
FWCHECK,6,12,137.8571429,,,
FWCHECK,7,21,218.2352941,,,
FWCHECK,6,11,140.1428571,,,
FWCHECK,6,9,126.6666667,,,
FWCHECK,2,7,147,,,
FWCHECK,1,18,126.25,,,
FWCHECK,6,4,70.14285714,,,
FWCHECK,4,12,141.5,,,
FWCHECK,3,1,36.4,,,
FWCHECK,4,7,107.375,,,
FWCHECK,7,24,234.9166667,,,
